1929 ou 1989 ?	1929年还是1989年?
Pour diverses raisons, nous en sommes venus à surévaluer les capacités mesurées par les tests d'intelligence et à sous-évaluer d'autres capacités cognitives importantes comme l'aptitude à la pensée rationnelle.	由于形形色色的原因，我们已经过分高估了那些由智力测验进行测试的思维能力，却低估了其他重要的认知技能，例如理性思维的能力。
Les psychologues ont étudié les principales erreurs de raisonnement qui rendent moins rationnels.	有些思维方面的错误导致人们进行非理性思考，心理学家已经对这些错误的主要类别进行了研究。
Ils ont identifié la tendance à évaluer les probabilités de manière incohérente, à trop faire confiance à une connaissance toute faite, à ignorer les hypothèses alternatives, à évaluer les données dont on dispose avec un préjugé en sa propre faveur, à afficher des préférences incohérentes en raison du "framing effect" (effet de l'influence), à accorder une importance excessive au bénéfice à court terme au détriment du bien-être à long terme, à décider en fonction d'un contexte qui n'a rien à voir, etc.	他们研究了人们的下列倾向：减缓对不连贯的可能性进行测试；在知识判断上过于自信；忽略对立假说；带着“我这边“的偏见来评估证据；因为框架效应而放慢自相矛盾的偏好；过分看重短期回报而牺牲长期福祉；允许决定受不相干的环境因素干扰，还有许多其他倾向。
Toutes ces formes d'erreur de la pensée rationnelle et de la prise de décision sont très mal corrélées avec l'intelligence – autrement dit, il est difficile de mesurer avec les tests de QI les différences individuelles dans le domaine de la pensée rationnelle.	所有这些类型的非理性判断和决策都与智商毫不相关，也就是说智力测验可能无法捕捉到理性思维方面的个体差异。
Les tests d'intelligence mesurent des capacités intellectuelles étudiées depuis longtemps, alors que les psychologues n'ont que depuis peu les outils leur permettant de mesurer la tendance à un mode de pensée plus ou moins rationnel.	智力测验评估的是脑力技能，这一技能已经被人们研究多时；而心理学家直到最近才找到测算理性和非理性思维倾向的工具。
Néanmoins, des progrès récents dans le domaine des sciences cognitives qui relève de la pensée rationnelle suggèrent que rien – si ce n'est l'argent – ne nous empêchera de construire un test d'intelligence rationnelle.	尽管如此，认知科学近来在理性思维研究上取得的进展意味着：没有什么因素—金钱除外—会阻止我们设立“RQ”测试（理性测试 ） 。
Un tel test pourrait se révéler très utile.	这种测试也许将被证明大有裨益。
Ainsi, de mauvaises décisions d'investissement sont liées à une trop grande confiance dans son propre jugement, à la tendance à trop vouloir expliquer les événements dus au hasard et à substituer l'émotion à la pensée.	例如，次优投资决定是和下列因素联系在一起的：在知识判断方面的过度自信，倾向于过度诠释机会事件，容易于用情感因素代替思考。
Des erreurs médicales et judiciaires sont liées aux tendances à la pensée irrationnelle étudiée par les psychologues.	医学和法律决策方面的错误同样与具体的非理性思维倾向相关，心理学家已经就此展开了研究。
Il existe des stratégies et des correcteurs environnementaux pour éviter ce type d'erreur, davantage liées à la rationalité qu'à l'intelligence.	在所有这些领域中，都存在策略和环境方面的困境来导致思考发生错误。 但是认识到这些思维错误更多是和理性而不是和智力相关，这一点十分重要。
Il y en aurait moins si les écoles, les entreprises et les gouvernements portaient davantage d'intérêt aux capacités cognitives ignorées par les tests d'intelligence.	如果学校，企业和政府对智力测验中缺失的认知能力给予关注，就能减少类似错误的发生。
Au lieu de cela, ces institutions consacrent beaucoup plus d'attention et de moyens à l'intelligence qu'à enseigner comment penser pour atteindre les objectifs que l'on se fixe.	不过，这些机构仍然把更多的注意力和资源用来关注智商，而不是用来教会人们为了达到目标应该如何进行思考。
C'est comme si l'intelligence était devenue emblématique de notre culture.	似乎智商已经变成了我们文化中的图腾。
Nous devrions plutôt développer les stratégies de raisonnement susceptibles d'améliorer substantiellement notre bien-être.	但是我们真正应该追求的是培养推理策略，它能极大地增加人类的幸福。
	
L’ascension de Zuma	祖马胜出
Les inquiétudes suscitées par l’élection de Jacob Zuma à la présidence de l’Afrique du Sud�occultent une étape très importante�: pour la première fois depuis des décennies, un champion des masses ordinaires est à la tête d’une nation sub-saharienne.	有些人对祖马当选南非总统的担忧，使一个重要的具有里程碑式意义的事件 — — 几十年来的第一次，一个撒哈拉以南非洲国家将会由一个支持平民大众的人当领导人 — — 蒙上了阴影。
La politique en Afrique est longtemps restée l’exclusivité des aristocrates, des soldats et des technocrates.	非洲政治长期以来都是贵族、军人和专家政治家的专属领域。
Même la propagation d’élections démocratiques n’a pas empêché les leaders régionaux de sortir des rangs de l’armée (Ouganda, Rwanda, Zimbabwe), d’être issus de dynasties (Togo, Kenya, etc.) ou d’être des professeurs d’université, des avocats ou des économistes (Ghana, Malawi, Liberia).	即使随着民主选举的发展，撒哈拉以南非洲国家的领导人一般也都是军人（例如乌干达、卢旺达和津巴布韦的领导人 ） ， 家族王朝（例如多哥、肯尼亚等国的领导人 ） ， 或者大学教授、律师和经济学家（例如加纳、马拉维、利比里亚的领导人）出身。
Voilà maintenant que l’Afrique du Sud, moteur économique de la région et siège de nombreuses universités, sociétés et médias importants, est dirigée par un ancien gardien de vaches, un leader hors du commun proche de tout un chacun.	现在，作为撒哈拉以南非洲国家经济引擎和最先进的大学、媒体以及公司所在地的南非，拥有了一位曾经当过牧羊人的领导人 — — 一位罕见的具有平易近人品质的非洲领导人。
La faculté de Zuma de se lier avec la population ordinaire est légendaire.	
Il est assez sûr de lui pour danser et chanter en public. Il parle une langue populiste et donne de l’espoir à la grande majorité de Sud-africains qui vivent dans de misérables conditions en terme de logement, d’éducation et de santé.	祖马在和普通民众打成一片方面具有超凡的能力，他在公开场合唱歌跳舞都很轻松自如，他用普通大众的语言进行演说，他为广大每天忍受恶劣的居住、教育和医疗条件的南非人带来了希望。
A l’opposé de ses deux prédécesseurs – Nelson Mandela le béatifié qui a mis l’accent sur la fin du conflit racial et l’aristocrate Thabo Mbeki, dont la maîtrise de la macroéconomie a rassuré les financiers – Zuma reconnaît la demande sous-jacente d’améliorer les conditions de vie matérielles des dix millions d’indigents du pays. «�Les erreurs commises au cours des 15 dernières années nous ont beaucoup appris, notamment la manière dont nous avons, dans une certaine mesure, négligé l’évolution de la population » a-t-il déclaré en avril, avant que son parti n’emporte la victoire.	祖马和他的两位前任 — — 强调种族愈合的品德高尚的尼尔森·曼德拉和通过对宏观经济强有力的把握打消金融家顾虑的贵族化的塔博·姆贝基 — — 不同，他认识到了南非几千万穷人被抑制的改善物质生活条件的需求。 “我们已经从过去15年的错误中，特别是从在某种程度上忽略了人民运动的错误中，吸取了教训 。 ”
	他在四月份于非洲国民大会党横扫对手取得胜利之前，如是说。
Jusqu’à aujourd’hui, le populisme faisait défaut à la culture politique africaine.	直到现在，非洲政治文化中仍然缺乏平民主义的观念。
Zuma, qui a passé sa jeunesse à garder des troupeaux sans recevoir d’éducation formelle, sauf dans la prison de Robben Island en présence de Mandela, est tout à fait conscient que le plus gros problème de l’Afrique est dû à ses inégalités et non à sa marginalisation mondiale.	祖马的青年时代是在放牧中度过的，他直到和曼德拉一起被关押在了臭名昭著的罗宾岛（Robben Island）监狱之后，才接受正式的教育的；祖马清醒地认识到，非洲最大的问题是不平等问题，而不是在世界上被边缘化了的问题。
Cet impudent démagogue détient désormais le pouvoir absolu sur la politique du gouvernement du pays africain le plus riche - qui est aussi la nation où les richesses sont les moins bien réparties.	在非洲最富裕的国家，但是也是财富分配最不公平的国家 — — 南非，一个大胆的平民主义者现在对政府政策拥有了最终决策的权力了。
Mais, tandis que le populisme de Zuma se fait le reflet des énormes disparités sud-africaines, surtout sociales, la menace d’imposer des taxes plus élevées et d’autres obligations sur les patrons et les nantis suscite la peur, à l'échelle nationale et internationale.	然而，虽然祖马的平民主义吸引力反映了南非特别巨大的经济阶层差异，但是，他扬言要对雇主和富人征收更高的税赋和施加其他的义务，已经在南非国内外引起了人们的担心。
En outre, Zuma, surnommé le «�caméléon�», est accusé de dire à son public ce que ce dernier souhaite entendre.	而且，还有人将祖马称为变色龙，指责他总是向听众讲他们想听的东西。
Sa vie privée pour le moins sulfureuse – de nombreuses femmes et une déclaration embarrassante lors de son jugement pour viol précisant qu’il s’était protégé du sida en prenant une douche – suscite le ridicule.	祖马混乱的私生活 — — 他有多位妻子，以及他在一起强奸审判中说他通过淋浴避免艾滋病病毒的令人尴尬的辩解 — — 已经引起了一些人的嘲笑。
Qui plus est, des doutes demeurent sur son engagement démocratique, lorsque les critiques le traitent de «�grand homme�» africain de la vieille école, prêt à tyranniser ses adversaires et à piller les caisses publiques avec ses camarades.	更严重的是，有人对他的民主承诺一直持怀疑态度，也有批评家批评他是一个老式的非洲“专制人物 ” ， 认为他会威吓对手并与其亲信一起侵占公共财产。
Pour dissiper les plaintes, Zuma insiste�: «�Aucun nuage ne [l’]entoure�».	为了驳斥这些批评，祖马坚称 ， “ 我是光明正大的 。 ”
Pendant ce temps, ses défenseurs mettent le doigt sur deux avantages qu’il a déjà apportés�: la fin de la politique ambivalente de Mbeki pour lutter contre le sida, la menace à la santé la plus importante du pays, et une volonté bienvenue de s'opposer au vieux dictateur du Zimbabwe, Robert Mugabe, que Mbeki a dorloté – fallacieusement – afin de rester loyal au soutien qu’il a apporté durant la lutte contre l’apartheid.	同时，他的支持者也向人们指出了两个他已经承诺过的好处：结束姆贝基对抗南非主要的公共健康威胁 — — 艾滋病病毒/艾滋病 — — 的充满矛盾的做法，用行动反对津巴布韦年迈的独裁者罗伯特·穆加贝的全新观点 — — 对于罗伯特·穆加贝，姆贝基因为其在南非反对种族隔离制度时期给予反种族隔离制度人士的支持而对其产生了具有误导性的信任，因而纵容他的独裁统治。
Dans une Afrique privée de démagogues à succès, Zuma s’est sûrement inspire des personnalités d’Amérique latine, où l’inégalité des revenus est aussi extrême et où le mouvement syndicaliste, tout comme en Afrique du Sud, est solide et actif.	在缺乏成功的平民主义政治家的非洲，祖马的行为榜样可能来源于拉丁美洲。 在拉丁美洲，收入不平等问题也是极端严重的，而且，工会运动和南非一样，非常强大而好战。
Zuma, l’ami du peuple, va vite être mis à l’épreuve par l’énorme pression exercée par les couches ordinaires vers des résultats concrets : suivra-t-il l’exemple de Lula au Brésil, qui a su admirablement bien concilier bonne gouvernance économique et redistribution des richesses ?	因为来自普通民众要求给予切实好处的巨大压力，平民主义者祖马很快就会面临一个重大考验：他是效仿巴西的卢拉，在良好的经济治理和将财富重新分配给穷人间取得令人钦佩的平衡呢？
Empruntera-t-il le chemin de Hugo Chávez, autocrate populaire qui préfère, semble-t-il, cultiver le culte de sa personnalité plutôt que d’augmenter le niveau de vie des plus démunis�?	还是会走上一条雨果·查韦斯式的道路，做一个受欢迎的独裁者，和提高穷人的生活水平相比，更愿意建立起个人崇拜呢？
Pour l’Afrique, les enjeux sont considérables.	这对非洲厉害攸关。
L’Afrique du sud possède la plus forte économie du continent et, jusqu'à la crise financière mondiale, a affiché 10 ans durant une belle croissance économique.	南非是非洲最大的经济体，并且，在经济危机爆发之前的十年里，经济稳定增长。
Par temps de récession, la grande question de la criminalité dans se pays, ne pourrait qu’empirer, à l’instar du chômage, qui dépasse les 20�% d’une économie traditionnelle.	在经济低迷时期，南非严重的犯罪问题肯定会恶化；而且，已经在正式经济体中占前20%的失业问题，也会恶化。
Zuma ressent l’urgence de la situation.	祖马意识到了问题的紧迫性。
Après tout, il a 67 ans et ne servira probablement qu’un seul mandat. «�Nous ne pouvons nous permettre de perdre du temps�» a-t-il déclaré.	毕竟，他已经67岁了，不大可能会连任。 他说 ， “ 我们不能浪费时间 。 ”
Toutefois, d’après l’économiste politique Moeletsi Mbeki, au fond, «�Zuma est un conservateur.�» Vu sous cet angle, Zuma représente l’Afrique du Sud d’hier.	然而，根据政治经济学家莫莱茨·姆贝基(Moeletsi Mbeki)的观点，在本质上 ， “ 祖马是一个保守主义者 。 ” 在这个意义上，祖马代表的是过去的南非。
Il fait partie de la génération fière d’avoir vaincu l’apartheid, puis d’avoir opéré une transition pacifique vers une administration à majorité noire, ce qui demeure une des plus grandes réussites de l’histoire contemporaine.	他是打败种族隔离制度 — — 然后让南非和平过渡到由人口占多数的黑人进行长期统治 — — 的自豪的一代人的一部分。 这一代人的成就是现代��史上最伟大的成就之一。
Mais il semblerait cependant que cette génération révolutionnaire rencontre des difficultés à diriger l’Afrique du Sud 15 ans après la fin de l'apartheid.	同时，祖马革命的一代似乎对领导打破种族隔离制度15年后的南非，还不适应。
Dans une région qui révère les personnes âgées, l’attachement de Zuma aux traditions rurales doit être compensé par autant d’ouverture à l'appétit des jeunes du pays.	在一个尊敬老人的地区，祖马对其乡下传统的依恋，必须和对南非年青人的爱好所持的平等而开放态度相平衡。
3 Sud-africains sur 10 ont moins de 15 ans, ce qui signifie qu’ils n’ont pas connu l’apartheid.	在南非，每10个人中就有三个人的年龄小于15岁，这意味着，这些人从来没有在种族隔离制度下生活过。
D’une manière ou d’une autre, Zuma doit trouver un moyen d’honorer l’engagement de sa propre génération pour la justice raciale et la libéralisation du pays, tout en donnant du pouvoir aux masses qui souffrent des disparités sociales au quotidien et qui aspirent à plus de gains matériels.	在某种程度上，祖马在给予那些心灵每天都会被阶层差异刺痛以及渴望物质利益的广大民众权利的同时，他还必须找到一个实践自己那一代人所作的种族公正和民族解放承诺的途径。
	
Le Pacte de croissance dysfonctionnel de l’Europe	欧洲功能失调的增长契约
BRUXELLES – Un trou de près de 10 milliards d’euros est récemment apparu dans le budget de l’Union européenne de cette année.	布鲁塞尔—最近，本年度欧盟预算的100亿欧元缺口被曝了光。
En conséquence, l’UE ne peut plus rembourser les États membres pour des dépenses exceptionnelles, dont les frais d’urgence, tels l’aide aux victimes italiennes du tremblement de terre, ni financer les dépenses visant à soutenir la croissance économique et l’emploi, comme l’absorption accélérée des Fonds structurels et de cohésion inutilisés.	结果，欧盟无法偿还成员国近期计划外支出，包括紧急支出（如意大利地震灾区援助）以及旨在提振经济增长和就业的支出（如未使用结构和凝聚基金（Structural and Cohesion Funds）的加速吸收 ） 。
Les États membres ont opposé un refus à la demande de la Commission européenne de contributions supplémentaires pour combler ce trou, menant à l’impasse des discussions sur le budget 2013.	成员国拒绝欧盟委员会增加出资弥补资金缺口的要求，导致明年预算谈判崩溃。
Dans l’intervalle, les négociations sur le cadre financier pluriannuel 2014-2020 (CFP), le principal instrument de planification de l’utilisation des fonds de l’UE, ont également achoppé à cause de désaccords sur des questions clés, notamment la taille du budget et l’allocation des dépenses.	与此同时，2014—2020多年度财政框架（MFF，欧盟基金使用的中央规划工具）也由于在包括预算规模和支出组成等关键问题上的分歧而无法维持。
La décision a été reportée au début de l’année prochaine.	决定被推迟到明年初。
La situation souligne l’ambiguïté entourant le rôle du budget de l’UE dans l’intégration européenne.	这一状况凸显出欧盟预算在欧洲一体化进程中作用不清。
Bien que tous les chefs d’État et de gouvernement de l’UE aient défendu l’idée d’utiliser le budget pour stimuler la croissance économique, peu de mesures concrètes ont été prises.	尽管所有欧盟领导人都支持用预算来刺激经济增长，但行动者寥寥。
Cette conjoncture soulève des doutes quant au pacte sur la croissance et l’emploi adopté par le Conseil européen en juin dernier, et en particulier quant à l’engagement politique à mobiliser rapidement 120 milliards d’euros en réaffectant les Fonds structurels et de cohésion inutilisés et en augmentant la capacité de prêt de la Banque européenne d’investissement.	这引起了人们对欧洲委员会6月提出的所谓的“增长契约”的质疑，特别是其中通过重新配置未使用的结构和凝聚基金以及增加欧洲投资银行（European Investment Bank）的贷款能力迅速动员1200亿欧元的政治承诺。
En fait, alors que les gouvernements européens ont convenu d’encourager une absorption plus rapide des fonds communautaires par les pays en difficulté, ils ont refusé d’apporter les contributions au budget de l’UE permettant de débourser ces fonds.	事实上，尽管欧洲各国政府同意鼓励快速回收危机国的欧盟基金，但它们拒绝向欧盟预算注资以满足这些基金的支出。
Cette contradiction montre que les intérêts nationaux continuent à prévaloir dans les négociations budgétaires européennes, souvent exploitées par les États membres pour des gains politiques nationaux.	这一矛盾表明，国家利益仍广泛存在于欧盟预算谈判中，成员国总是将谈判当作争取本国政治利益的工具。
A moins qu’un mécanisme soit introduit pour faciliter l’allocation rapide des fonds communautaires, protégeant ainsi le budget de l’UE d’une politisation destructrice, ces fonds ne pourront pas être utilisé pour stimuler la croissance en période de crise.	除非引入能够促使欧盟基金快速支出的机制，从而让预算免于毁灭性的政治化，欧盟基金将无法被用于在危机时刺激增长。
Les États membres ne contribuent pas tous de manière égale au budget de l’UE. Certains sont des contributeurs nets, d’autres des bénéficiaires nets.	各成员国对欧盟预算的出资并不是对等的；一些国家是净贡献者，一些国家是净受益者。
Une fois que les projets d’investissements financés par l’UE sont définis – dont les dépenses sont convenues et exécutées dans le cadre du budget annuel – l’argent est transféré au bénéficiaire.	在欧盟出资的投资项目结束时 — — 期支出在年度预算框架内同意并执行 — — 资金便被转移给了净受益者。
Les montants perçus par les bénéficiaires nets sont versés par les contributeurs nets.	而净受益者所得到的资金是由净贡献者出资的。
Une entrée de fonds de l’UE dans un pays implique donc une sortie de fonds d’un autre pays – et il s’agit ici de subventions, pas de prêts.	于是，一国对欧盟资金的流入便是另一国的流出 — — 是资助，不是贷款。
L’accord conclu tous les sept ans sur les dépenses générales ne suffit donc pas à empêcher les conflits sur le budget annuel.	结果，每七年签一次总体支出协议并不足以排除年度预算冲突。
Il n’en reste pas moins que des mesures peuvent être prises pour prévenir l’impasse des négociations budgétaires, tout au augmentant la flexibilité du budget de façon à ce qu’il puisse stimuler la croissance.	尽管如此，可以采取一些步骤防止在预算谈判中发生政治僵局，同时提高预算的灵活性，以使其能够用于刺激增长。
Par exemple, une partie du budget pourrait être utilisée pour contracter des emprunts, malgré la controverse inévitable, puisque les traités de l’UE exigent que le budget soit équilibré en permanence.	比如，可以允许预算使用杠杆，尽管这会引起激烈的争论，因为欧盟条约要求预算随时保持平衡。
Le budget de l’UE permet pourtant déjà une forme indirecte d’endettement : l’utilisation par la Commission européenne des garanties implicites offertes par le budget de l’UE pour lever des fonds sur les marchés financiers.	但欧盟预算已经包含着间接的杠杆形式：欧盟委员会利用隐含的预算担保在金融市场上筹集资本。
Ces fonds sont utilisés pour venir en aide à des pays n’appartenant pas à la zone euro par le biais du Mécanisme de soutien financier à moyen terme des balances des paiements, à des pays de la zone euro par le biais du Mécanisme européen de stabilité financière (MESF), aujourd’hui défunt, et à des pays tiers partenaires.	这些资金被用于通过中期金融援助便利（Medium-Term Financial Assistance Facility，MTFA）向非欧元区欧盟国家提供金融援助、通过现已过期的欧洲金融稳定机制（MFSM）向欧元区成员国提供援助以及与其他国家组成伙伴关系。
Entre le Mécanisme de soutien financier à moyen terme, le MESF et les paiements au pays tiers, le total des expositions s’est élevé cette année à 70,5 milliards d’euros.	在MTFA、EFSM和向第三方国家支付之间，今年的总敞口是705亿欧元。
Des emprunts contractés sur la période de sept ans du Cadre financier pluriannuel seraient possibles tout en respectant l’objectif à moyen terme de l’équilibre budgétaire.	在七年的MFF期限中进行一定程度的借贷是可能的，与此同时，还能支持平衡预算的中期目标。
Cette utilisation du budget pour lever des fonds compléterait le mécanisme européen de stabilité (MES), récemment créé (et qui succède au MESF) et le mécanisme de soutien à moyen terme.	此类欧盟预算杠杆可以补充最近出台的欧洲稳定机制（ESM，EFSM的后续机制）和MTFA。
Les pays bénéficiant d’une aide devraient avoir la possibilité de demander une mise à disposition anticipée des fonds de l’UE.	获得���著的国家应被授予申请未来欧盟资金开支的选择权。
A la suite d’une demande d’un État membre, la Commission européenne serait autorisée à emprunter sur les marchés financiers, emprunts implicitement garantis par le budget de l'Union européenne. Le montant total serait déterminé par la taille des Fonds structurels et de cohésion inutilisés (avant allocation) du pays concerné.	应成员国要求，欧盟委员会将得到授权，以欧盟预算为隐含担保在资本市场上借钱，最大金额由该国未使用（配置前）结构和凝聚基金规模决定。
Les paiements dus seraient versés en tranches annuelles à mesure que les fonds deviennent disponibles par l’entremise du budget de l’UE, tandis que le taux de cofinancement national s’appliquerait aux paiements des intérêts.	因为基金在欧盟预算期间都可获得，因此这笔资本将通过每年分期付款偿还，而利息支付将采用该国共同融资利率。
Ce cadre devrait réduire les incitations à se servir des négociations budgétaires annuelles pour faire progresser des objectifs politiques nationaux.	该框架将削弱利用年度欧盟预算谈判行使政治图谋的激励。
Les contributeurs nets seraient dans une relation captive avec les marchés – un créditeur convaincant.	净出资国将被锁定在市场关系中 — — 可信的债权人。
Dans le même temps, imposer des conditions à cette mise à disposition des fonds améliorerait la légitimité des conditions dans lesquelles les bénéficiaires font valoir leurs droits, contrairement au cadre actuel.	与此同时，为这类开支设定条件将增强合法性，而现有框架正好相反，受益国会寻求福利。
En fait, tous les pays de l’UE – pas seulement les membres de la zone euro – bénéficieraient de telles conditions.	事实上，所有欧盟国家 — — 不只是欧元区成员国 — — 都能从这样的框架中受益。
Une initiative de la sorte pourrait cohabiter avec la proposition du président du Conseil européen Herman Van Rompuy de créer un mécanisme de financement du partage des risques (MFPR) pour les pays de la zone euro.	这一方案可以和欧洲委员会主席范龙佩关于建立欧元区国家专属风险共担机制的方案共存。
Un pacte pour la croissance revu et corrigé permettrait une meilleure allocation des ressources européenne et améliorerait la flexibilité des transferts permanents des pays riches vers les pays pauvres – pour autant que ces montants soient consacrés à des investissements productifs.	修改后的增长条约将更有效地配置欧洲的资源、增加从富国到穷国的转移支付的灵活性 — — 只要这笔钱被用于生产性投资。
La proposition de budget de Van Rompuy pourrait aussi contribuer à stabiliser la zone euro dans le cas où des chocs asymétriques obligeraient à transférer des fonds de pays préservés à des pays en difficulté.	范龙佩的预算方案还有助于在不对称冲击要求未受影响国家向危机袭击国家进行转移支付时稳定欧元。
En fait, les deux instruments pourraient bien être complémentaires dans les pays de la zone euro.	事实上，这两样工具可以在欧元区国家完美共存。
Les crises s’accompagnent en général d’une chute non seulement de la croissance, mais également du potentiel de croissance d’un pays, en raison d’investissements différés.	危机通常不仅伴随实际增长的下降，也伴随增长潜力的下降（因投资不振导致 ） 。
Un mécanisme de financement du partage des risques pourrait limiter le déclin de la croissance réelle après une crise, tandis que des investissements rapides et financés par l’UE pourraient empêcher qu’un pays se retrouve sur une trajectoire de croissance plus lente.	风险共担便利能够限制危机后的世纪增长下跌幅度，与此同时，及时的欧盟融资投资项目能够防止防止一国向更低的增长路径迁移。
	
Financer la coopération internationale	为国际合作提供融资
NEW YORK – Aujourd'hui, la fourniture de biens et services publics aux niveaux mondial et régional est dangereusement insuffisante.	纽约—如今，全球和地区层面的公共品和服务提供非常不足。
Le système des Nations Unies, l'Union européenne et d'autres organisations multilatérales sont en péril, parce que leurs budgets sont insuffisants pour répondre à leurs responsabilités.	联合国体系、欧盟和其他多边组织都承受着很大的压力，因为它们的预算不足以满足责任。
Bien que quelques idéologues du libre marché puissent encore expliquer que les entreprises motivées par le profit devraient diriger le monde en l’absence de gouvernement, l'expérience prouve le contraire.	一些自由市场理论家可能仍然认为，应该由以利润为动机的公司，而不是政府来运转世界，但经验表明绝非如此。
Les gouvernements sont essentiels pour assurer un accès universel aux services essentiels tels que la santé et l'éducation; construire des infrastructures telles que les routes, les voies ferrées et le réseau électrique; et financer la recherche scientifique et les technologies à un stade précoce.	在提供健康和教育等全民重要服务；高速公路、铁路和电网等基础设施；以及科学研究和早期技术等拨款方面，政府起着不可或缺的作用。
Les gouvernements sont également nécessaires pour taxer les riches et transférer du revenu aux pauvres.	向富人征税然后将收入转移给穷人也需要政府。
Sinon, nos sociétés deviendront dangereusement inégales, injustes et instables – comme cela est en train de se produire aujourd'hui aux États-Unis.	否则，我们的社会将变得非常危险，不平等、不公正、不稳定 — — 就像今天的美国。
Les gouvernements des pays à revenu élevé prospères collectent au moins 25% du revenu national au moyen d’impôts afin de mener à bien ces fonctions.	成功的高收入国家的政府至少要对国民收入课以25%的税收，才能实现这些功能。
Dans les économies les plus prospères du monde, notamment les démocraties sociales de l'Europe du Nord, les gouvernements taxent environ 50% du revenu national.	在世界最成功的的经济体中 — — 主要是北欧社会民主国家 — — 国民收入的50%都被政府征用为税收。
Ils utilisent ces revenus pour trois fonctions vitales: les services publics, les investissements publics et des paiements de transfert des riches vers les pauvres.	它们用这些收入行使三大关键功能：公共服务、公共投资，以及从富到穷的转移支付。
Ces trois fonctions publiques sont nécessaires de manière urgente au-delà du niveau national.	急需这三大公共功能的不仅限于国家层面。
Des groupes de pays voisins – comme l'UE et l'Union africaine (UA) – ont besoin de services publics, d’investissements publics et de paiements de transfert qui traversent les frontières nationales et qui impliquent souvent des dizaines de pays en même temps.	邻近国家组成的联盟 — — 如欧盟和非盟 — — 需要跨境公共服务、公共投资和转移支付，并且常常同时涉及到几十个国家。
Les groupes régionaux ont besoin de budgets régionaux adéquats pour mener à bien leurs fonctions vitales.	地区集团需要足够的地区预算实现关键功能。
De la même manière, l'ONU dans son ensemble a besoin d'un budget suffisant pour financer les efforts mondiaux pour lutter contre le changement climatique, protéger les océans, mettre fin à l'extrême pauvreté, résister à la prolifération nucléaire et mettre fin aux conflits locaux au travers du Conseil de sécurité avant qu'ils ne deviennent des catastrophes mondiales.	同样地，联合国作为一个整体，也需要足够的预算为遏制气候变化、保护海洋、消除贫困、阻止核扩散以及通过安理会在冲突演变为全球灾难之前扑灭等方面的全球措施提供资金。
L'UE, l'UA et d'autres groupes régionaux devraient construire des réseaux électriques régionaux basés sur les énergies renouvelables (comme l'énergie éolienne, solaire et hydraulique) au lieu de combustibles fossiles.	欧盟、非盟和其他地区集团应该构建基于可再生能源（如风能、太阳能和水能）而非化石燃料的地区电网。
Ces groupes devraient également transférer des fonds des régions les plus riches vers les régions les plus pauvres afin d'éliminer les poches de pauvreté persistante.	这些集团还应该讲资金从最富裕地区转移到最贫穷地区，以消除持续贫困。
De plus, ils devraient protéger la nature sans s’arrêter aux frontières et investir beaucoup plus dans la science et la technologie pour tirer profit de la révolution numérique.	它们应该超越国界保护自然，加大科学技术投资力度以利用数字革命。
Pourtant, les ressources budgétaires disponibles pour cette coopération multilatérale sont une bouchée de pain.	但这些多边合作可以动用的预算资源十分稀缺。
Alors que de nombreux États membres de l'UE taxent au moins 25% du revenu national en vue de financer des dépenses publiques aux niveaux national et local, les fonds disponibles pour le budget de l'UE dans son ensemble équivalent seulement à 1% du revenu combiné des pays membres.	许多欧盟成员国对国民收入课以25%或以上的税收，以满足国家和地方层面的公共支出，而可用于欧盟预算的资金只占成员国总国民收入的1 % 。
Des fonds supplémentaires sont disponibles par le biais de la Banque européenne d'investissement, mais ceux-ci sont réservés aux projets d'investissement qui peuvent être financés sur une base de marché.	欧洲投资银行可以提供更多的资金，但只是面向能够按市场标准融资的投资项目。
La raison du sous-financement est évidente.	资金不足的原因是显而易见的。
Les taxes sont de la compétence des gouvernements nationaux et locaux, qui gardent jalousement leurs prérogatives fiscales.	税收在国家和地方政府管辖区域征收，它们激烈地保护着自己的税收特权。
Les gouvernements nationaux ont convenu de transférer seulement 1% du revenu national à Bruxelles pour financer des projets à l'échelle européenne.	国家政府只同意将国民收入的1%转移给布鲁塞尔用于欧盟层面的目的。
Le résultat est une UE avec des aspirations très grandes et un très petit budget de fonctionnement.	结果是欧盟空有雄心壮志，却囊中羞涩。
Pire encore, les nationalistes en Europe (comme les Brexiteers du Royaume-Uni) affirment que le budget de l'UE est trop grand, et non pas lamentablement petit.	更糟糕的是，欧洲民族主义者（如英国的退欧派）宣称欧盟预算过于庞大，而不是太小。
Aucun pays ne peut survivre avec seulement 1% du revenu national.	没有一个国家能够坚持拿出区区1%的国民收入。
Et il se pourrait que l'UE, elle aussi, ne parvienne pas à se maintenir sur un aussi petit budget.	欧盟也很有可能连这个微小的预算也无法自己维持。
Les services publics, les investissements et les transferts à l'échelle européenne sont une infime partie de ce qui est nécessaire pour avoir une union vraiment efficace.	欧盟层面的公共服务、投资和转移支付相对真正有效的联盟所要求的的水平，只是九牛一毛。
La situation est encore plus grave au niveau mondial.	而全球层面的情况甚至更加糟糕。
Le budget ordinaire de l'ONU ne s’élève qu’à 2,7 milliards de dollars par an, soit seulement 0,003% du revenu total mondial de 90 billions de dollars.	联合国常规预算只有每年27亿美元，或世界90万亿美元总收入的0.003 % 。
